week,week_start,market,is_ramadan,is_ramadan_peak,is_cny,is_yearend
48,2024-07-29,MY,0,0,0,0
48,2024-07-29,ID,0,0,0,0
49,2024-08-05,SG,0,0,0,0
49,2024-08-05,MY,0,0,0,0
49,2024-08-05,ID,0,0,0,0
50,2024-08-12,SG,0,0,0,0
50,2024-08-12,MY,0,0,0,0
50,2024-08-12,ID,0,0,0,0
51,2024-08-19,SG,0,0,0,0
51,2024-08-19,MY,0,0,0,0
51,2024-08-19,ID,0,0,0,0
52,2024-08-26,SG,0,0,0,0
52,2024-08-26,MY,0,0,0,0
52,2024-08-26,ID,0,0,0,0
53,2024-09-02,SG,0,0,0,0
53,2024-09-02,MY,0,0,0,0
53,2024-09-02,ID,0,0,0,0
54,2024-09-09,SG,0,0,0,0
54,2024-09-09,MY,0,0,0,0
54,2024-09-09,ID,0,0,0,0
55,2024-09-16,SG,0,0,0,0
55,2024-09-16,MY,0,0,0,0
55,2024-09-16,ID,0,0,0,0
56,2024-09-23,SG,0,0,0,0
56,2024-09-23,MY,0,0,0,0
56,2024-09-23,ID,0,0,0,0
57,2024-09-30,SG,0,0,0,0
57,2024-09-30,MY,0,0,0,0
57,2024-09-30,ID,0,0,0,0
58,2024-10-07,SG,0,0,0,0
58,2024-10-07,MY,0,0,0,0
58,2024-10-07,ID,0,0,0,0
59,2024-10-14,SG,0,0,0,0
59,2024-10-14,MY,0,0,0,0
59,2024-10-14,ID,0,0,0,0
60,2024-10-21,SG,0,0,0,0
60,2024-10-21,MY,0,0,0,0
60,2024-10-21,ID,0,0,0,0
61,2024-10-28,SG,0,0,0,0
61,2024-10-28,MY,0,0,0,0
61,2024-10-28,ID,0,0,0,0
62,2024-11-04,SG,0,0,0,0
62,2024-11-04,MY,0,0,0,0
62,2024-11-04,ID,0,0,0,0
63,2024-11-11,SG,0,0,0,0
63,2024-11-11,MY,0,0,0,0
63,2024-11-11,ID,0,0,0,0
64,2024-11-18,SG,0,0,0,0
64,2024-11-18,MY,0,0,0,0
64,2024-11-18,ID,0,0,0,0
65,2024-11-25,SG,0,0,0,0
65,2024-11-25,MY,0,0,0,0
65,2024-11-25,ID,0,0,0,0
66,2024-12-02,SG,0,0,0,0
66,2024-12-02,MY,0,0,0,0
66,2024-12-02,ID,0,0,0,0
67,2024-12-09,SG,0,0,0,1
67,2024-12-09,MY,0,0,0,1
67,2024-12-09,ID,0,0,0,1
68,2024-12-16,SG,0,0,0,1
68,2024-12-16,MY,0,0,0,1
68,2024-12-16,ID,0,0,0,1
69,2024-12-23,SG,0,0,0,1
69,2024-12-23,MY,0,0,0,1
69,2024-12-23,ID,0,0,0,1
70,2024-12-30,SG,0,0,0,1
70,2024-12-30,MY,0,0,0,1
70,2024-12-30,ID,0,0,0,1
71,2025-01-06,SG,0,0,0,0
71,2025-01-06,MY,0,0,0,0
71,2025-01-06,ID,0,0,0,0
72,2025-01-13,SG,0,0,0,0
72,2025-01-13,MY,0,0,0,0
72,2025-01-13,ID,0,0,0,0
73,2025-01-20,SG,0,0,0,0
73,2025-01-20,MY,0,0,0,0
73,2025-01-20,ID,0,0,0,0
74,2025-01-27,SG,0,0,1,0
74,2025-01-27,MY,0,0,1,0
74,2025-01-27,ID,0,0,0,0
75,2025-02-03,SG,0,0,1,0
75,2025-02-03,MY,0,0,1,0
75,2025-02-03,ID,0,0,0,0
76,2025-02-10,SG,0,0,1,0
76,2025-02-10,MY,1,0,1,0
76,2025-02-10,ID,1,0,0,0
77,2025-02-17,SG,0,0,0,0
77,2025-02-17,MY,1,0,0,0
77,2025-02-17,ID,1,0,0,0
78,2025-02-24,SG,0,0,0,0
78,2025-02-24,MY,1,0,0,0
78,2025-02-24,ID,1,0,0,0
79,2025-03-03,SG,0,0,0,0
79,2025-03-03,MY,1,1,0,0
79,2025-03-03,ID,1,1,0,0
80,2025-03-10,SG,0,0,0,0
80,2025-03-10,MY,1,1,0,0
80,2025-03-10,ID,1,1,0,0
81,2025-03-17,SG,0,0,0,0
81,2025-03-17,MY,0,0,0,0
81,2025-03-17,ID,0,0,0,0
82,2025-03-24,SG,0,0,0,0
82,2025-03-24,MY,0,0,0,0
82,2025-03-24,ID,0,0,0,0
83,2025-03-31,SG,0,0,0,0
83,2025-03-31,MY,0,0,0,0
83,2025-03-31,ID,0,0,0,0
84,2025-04-07,SG,0,0,0,0
84,2025-04-07,MY,0,0,0,0
84,2025-04-07,ID,0,0,0,0
85,2025-04-14,SG,0,0,0,0
85,2025-04-14,MY,0,0,0,0
85,2025-04-14,ID,0,0,0,0
86,2025-04-21,SG,0,0,0,0
86,2025-04-21,MY,0,0,0,0
86,2025-04-21,ID,0,0,0,0
87,2025-04-28,SG,0,0,0,0
87,2025-04-28,MY,0,0,0,0
87,2025-04-28,ID,0,0,0,0
88,2025-05-05,SG,0,0,0,0
88,2025-05-05,MY,0,0,0,0
88,2025-05-05,ID,0,0,0,0
89,2025-05-12,SG,0,0,0,0
89,2025-05-12,MY,0,0,0,0
89,2025-05-12,ID,0,0,0,0
90,2025-05-19,SG,0,0,0,0
90,2025-05-19,MY,0,0,0,0
90,2025-05-19,ID,0,0,0,0
91,2025-05-26,SG,0,0,0,0
91,2025-05-26,MY,0,0,0,0
91,2025-05-26,ID,0,0,0,0
92,2025-06-02,SG,0,0,0,0
92,2025-06-02,MY,0,0,0,0
92,2025-06-02,ID,0,0,0,0
93,2025-06-09,SG,0,0,0,0
93,2025-06-09,MY,0,0,0,0
93,2025-06-09,ID,0,0,0,0
94,2025-06-16,SG,0,0,0,0
94,2025-06-16,MY,0,0,0,0
94,2025-06-16,ID,0,0,0,0
95,2025-06-23,SG,0,0,0,0
95,2025-06-23,MY,0,0,0,0
95,2025-06-23,ID,0,0,0,0
96,2025-06-30,SG,0,0,0,0
96,2025-06-30,MY,0,0,0,0
96,2025-06-30,ID,0,0,0,0
97,2025-07-07,SG,0,0,0,0
97,2025-07-07,MY,0,0,0,0
97,2025-07-07,ID,0,0,0,0
98,2025-07-14,SG,0,0,0,0
98,2025-07-14,MY,0,0,0,0
98,2025-07-14,ID,0,0,0,0
99,2025-07-21,SG,0,0,0,0
99,2025-07-21,MY,0,0,0,0
99,2025-07-21,ID,0,0,0,0
100,2025-07-28,SG,0,0,0,0
100,2025-07-28,MY,0,0,0,0
100,2025-07-28,ID,0,0,0,0
101,2025-08-04,SG,0,0,0,0
101,2025-08-04,MY,0,0,0,0
101,2025-08-04,ID,0,0,0,0
102,2025-08-11,SG,0,0,0,0
102,2025-08-11,MY,0,0,0,0
102,2025-08-11,ID,0,0,0,0
103,2025-08-18,SG,0,0,0,0
103,2025-08-18,MY,0,0,0,0
103,2025-08-18,ID,0,0,0,0
104,2025-08-25,SG,0,0,0,0
104,2025-08-25,MY,0,0,0,0
104,2025-08-25,ID,0,0,0,0
105,2025-09-01,SG,0,0,0,0
105,2025-09-01,MY,0,0,0,0
105,2025-09-01,ID,0,0,0,0
106,2025-09-08,SG,0,0,0,0
106,2025-09-08,MY,0,0,0,0
106,2025-09-08,ID,0,0,0,0
107,2025-09-15,SG,0,0,0,0
107,2025-09-15,MY,0,0,0,0
107,2025-09-15,ID,0,0,0,0
108,2025-09-22,SG,0,0,0,0
108,2025-09-22,MY,0,0,0,0
108,2025-09-22,ID,0,0,0,0
109,2025-09-29,SG,0,0,0,0
109,2025-09-29,MY,0,0,0,0
109,2025-09-29,ID,0,0,0,0
110,2025-10-06,SG,0,0,0,0
110,2025-10-06,MY,0,0,0,0
110,2025-10-06,ID,0,0,0,0
111,2025-10-13,SG,0,0,0,0
111,2025-10-13,MY,0,0,0,0
111,2025-10-13,ID,0,0,0,0
112,2025-10-20,SG,0,0,0,0
112,2025-10-20,MY,0,0,0,0
112,2025-10-20,ID,0,0,0,0
113,2025-10-27,SG,0,0,0,0
113,2025-10-27,MY,0,0,0,0
113,2025-10-27,ID,0,0,0,0
114,2025-11-03,SG,0,0,0,0
114,2025-11-03,MY,0,0,0,0
114,2025-11-03,ID,0,0,0,0
115,2025-11-10,SG,0,0,0,0
115,2025-11-10,MY,0,0,0,0
115,2025-11-10,ID,0,0,0,0
116,2025-11-17,SG,0,0,0,0
116,2025-11-17,MY,0,0,0,0
116,2025-11-17,ID,0,0,0,0
117,2025-11-24,SG,0,0,0,0
117,2025-11-24,MY,0,0,0,0
117,2025-11-24,ID,0,0,0,0
118,2025-12-01,SG,0,0,0,0
118,2025-12-01,MY,0,0,0,0
118,2025-12-01,ID,0,0,0,0
119,2025-12-08,SG,0,0,0,1
119,2025-12-08,MY,0,0,0,1
119,2025-12-08,ID,0,0,0,1
120,2025-12-15,SG,0,0,0,1
120,2025-12-15,MY,0,0,0,1
120,2025-12-15,ID,0,0,0,1
121,2025-12-22,SG,0,0,0,1
121,2025-12-22,MY,0,0,0,1
121,2025-12-22,ID,0,0,0,1
122,2025-12-29,SG,0,0,0,1
122,2025-12-29,MY,0,0,0,1
122,2025-12-29,ID,0,0,0,1
123,2026-01-05,SG,0,0,0,0
123,2026-01-05,MY,0,0,0,0
123,2026-01-05,ID,0,0,0,0
124,2026-01-12,SG,0,0,0,0
124,2026-01-12,MY,1,0,0,0
124,2026-01-12,ID,1,0,0,0
125,2026-01-19,SG,0,0,1,0
125,2026-01-19,MY,1,0,1,0
125,2026-01-19,ID,1,0,0,0
126,2026-01-26,SG,0,0,1,0
126,2026-01-26,MY,1,0,1,0
126,2026-01-26,ID,1,0,0,0
127,2026-02-02,SG,0,0,1,0
127,2026-02-02,MY,1,1,1,0
127,2026-02-02,ID,1,1,0,0
128,2026-02-09,SG,0,0,0,0
128,2026-02-09,MY,1,1,0,0
128,2026-02-09,ID,1,1,0,0
129,2026-02-16,SG,0,0,0,0
129,2026-02-16,MY,0,0,0,0
129,2026-02-16,ID,0,0,0,0
130,2026-02-23,SG,0,0,0,0
130,2026-02-23,MY,0,0,0,0
130,2026-02-23,ID,0,0,0,0
131,2026-03-02,SG,0,0,0,0
131,2026-03-02,MY,0,0,0,0
131,2026-03-02,ID,0,0,0,0
132,2026-03-09,SG,0,0,0,0
132,2026-03-09,MY,0,0,0,0
132,2026-03-09,ID,0,0,0,0
133,2026-03-16,SG,0,0,0,0
133,2026-03-16,MY,0,0,0,0
133,2026-03-16,ID,0,0,0,0
134,2026-03-23,SG,0,0,0,0
134,2026-03-23,MY,0,0,0,0
134,2026-03-23,ID,0,0,0,0
135,2026-03-30,SG,0,0,0,0
135,2026-03-30,MY,0,0,0,0
135,2026-03-30,ID,0,0,0,0
136,2026-04-06,SG,0,0,0,0
136,2026-04-06,MY,0,0,0,0
136,2026-04-06,ID,0,0,0,0
137,2026-04-13,SG,0,0,0,0
137,2026-04-13,MY,0,0,0,0
137,2026-04-13,ID,0,0,0,0
138,2026-04-20,SG,0,0,0,0
138,2026-04-20,MY,0,0,0,0
138,2026-04-20,ID,0,0,0,0
139,2026-04-27,SG,0,0,0,0
139,2026-04-27,MY,0,0,0,0
139,2026-04-27,ID,0,0,0,0
140,2026-05-04,SG,0,0,0,0
140,2026-05-04,MY,0,0,0,0
140,2026-05-04,ID,0,0,0,0
141,2026-05-11,SG,0,0,0,0
141,2026-05-11,MY,0,0,0,0
141,2026-05-11,ID,0,0,0,0
142,2026-05-18,SG,0,0,0,0
142,2026-05-18,MY,0,0,0,0
142,2026-05-18,ID,0,0,0,0
143,2026-05-25,SG,0,0,0,0
143,2026-05-25,MY,0,0,0,0
143,2026-05-25,ID,0,0,0,0
144,2026-06-01,SG,0,0,0,0
144,2026-06-01,MY,0,0,0,0
144,2026-06-01,ID,0,0,0,0
145,2026-06-08,SG,0,0,0,0
145,2026-06-08,MY,0,0,0,0
145,2026-06-08,ID,0,0,0,0
146,2026-06-15,SG,0,0,0,0
146,2026-06-15,MY,0,0,0,0
146,2026-06-15,ID,0,0,0,0
147,2026-06-22,SG,0,0,0,0
147,2026-06-22,MY,0,0,0,0
147,2026-06-22,ID,0,0,0,0
148,2026-06-29,SG,0,0,0,0
148,2026-06-29,MY,0,0,0,0
148,2026-06-29,ID,0,0,0,0
149,2026-07-06,SG,0,0,0,0
149,2026-07-06,MY,0,0,0,0
149,2026-07-06,ID,0,0,0,0
150,2026-07-13,SG,0,0,0,0
150,2026-07-13,MY,0,0,0,0
150,2026-07-13,ID,0,0,0,0
151,2026-07-20,SG,0,0,0,0
151,2026-07-20,MY,0,0,0,0
151,2026-07-20,ID,0,0,0,0
152,2026-07-27,SG,0,0,0,0
152,2026-07-27,MY,0,0,0,0
152,2026-07-27,ID,0,0,0,0
153,2026-08-03,SG,0,0,0,0
153,2026-08-03,MY,0,0,0,0
153,2026-08-03,ID,0,0,0,0
154,2026-08-10,SG,0,0,0,0
154,2026-08-10,MY,0,0,0,0
154,2026-08-10,ID,0,0,0,0
155,2026-08-17,SG,0,0,0,0
155,2026-08-17,MY,0,0,0,0
155,2026-08-17,ID,0,0,0,0
