week,week_start,market,sku,true_demand,observed_shipments,on_hand_start,was_censored,lost_units
37,2024-05-13,SG,PAD-REG,870,870,2569,0,0
38,2024-05-20,SG,PAD-REG,682,682,2587,0,0
39,2024-05-27,SG,PAD-REG,862,862,2743,0,0
40,2024-06-03,SG,PAD-REG,988,988,2721,0,0
41,2024-06-10,SG,PAD-REG,678,678,2583,0,0
42,2024-06-17,SG,PAD-REG,777,777,2708,0,0
43,2024-06-24,SG,PAD-REG,1130,1130,2757,0,0
44,2024-07-01,SG,PAD-REG,723,723,2520,0,0
45,2024-07-08,SG,PAD-REG,798,798,2624,0,0
46,2024-07-15,SG,PAD-REG,858,858,2683,0,0
47,2024-07-22,SG,PAD-REG,732,732,2702,0,0
48,2024-07-29,SG,PAD-REG,892,892,2748,0,0
49,2024-08-05,SG,PAD-REG,910,910,2676,0,0
50,2024-08-12,SG,PAD-REG,1005,1005,2614,0,0
51,2024-08-19,SG,PAD-REG,891,891,2494,0,0
52,2024-08-26,SG,PAD-REG,1006,1006,2527,0,0
53,2024-09-02,SG,PAD-REG,892,892,2474,0,0
54,2024-09-09,SG,PAD-REG,1178,1178,2531,0,0
55,2024-09-16,SG,PAD-REG,1000,1000,2345,0,0
56,2024-09-23,SG,PAD-REG,921,921,2364,0,0
57,2024-09-30,SG,PAD-REG,1063,1063,2440,0,0
58,2024-10-07,SG,PAD-REG,1236,1236,2418,0,0
59,2024-10-14,SG,PAD-REG,876,876,2237,0,0
60,2024-10-21,SG,PAD-REG,1054,1054,2385,0,0
61,2024-10-28,SG,PAD-REG,1105,1105,2388,0,0
62,2024-11-04,SG,PAD-REG,1111,1111,2351,0,0
63,2024-11-11,SG,PAD-REG,1273,1273,2276,0,0
64,2024-11-18,SG,PAD-REG,1093,1093,2139,0,0
65,2024-11-25,SG,PAD-REG,1208,1208,2192,0,0
66,2024-12-02,SG,PAD-REG,1321,1321,2155,0,0
67,2024-12-09,SG,PAD-REG,2233,2058,2058,1,175
68,2024-12-16,SG,PAD-REG,1367,1367,1420,0,0
69,2024-12-23,SG,PAD-REG,1194,1194,1541,0,0
70,2024-12-30,SG,PAD-REG,1289,1289,1832,0,0
71,2025-01-06,SG,PAD-REG,1039,1039,2020,0,0
72,2025-01-13,SG,PAD-REG,1199,1199,2203,0,0
73,2025-01-20,SG,PAD-REG,1059,1059,2185,0,0
74,2025-01-27,SG,PAD-REG,1303,1303,2272,0,0
75,2025-02-03,SG,PAD-REG,1377,1377,2119,0,0
76,2025-02-10,SG,PAD-REG,1362,1362,1977,0,0
77,2025-02-17,SG,PAD-REG,1333,1333,1890,0,0
78,2025-02-24,SG,PAD-REG,1094,1094,1901,0,0
79,2025-03-03,SG,PAD-REG,899,899,2098,0,0
80,2025-03-10,SG,PAD-REG,949,949,2371,0,0
81,2025-03-17,SG,PAD-REG,1052,1052,2491,0,0
82,2025-03-24,SG,PAD-REG,1055,1055,2437,0,0
83,2025-03-31,SG,PAD-REG,1000,1000,2371,0,0
84,2025-04-07,SG,PAD-REG,1265,1265,2385,0,0
85,2025-04-14,SG,PAD-REG,1089,1089,2213,0,0
86,2025-04-21,SG,PAD-REG,952,952,2226,0,0
87,2025-04-28,SG,PAD-REG,1026,1026,2351,0,0
88,2025-05-05,SG,PAD-REG,1080,1080,2408,0,0
89,2025-05-12,SG,PAD-REG,970,970,2365,0,0
90,2025-05-19,SG,PAD-REG,747,747,2402,0,0
91,2025-05-26,SG,PAD-REG,929,929,2610,0,0
92,2025-06-02,SG,PAD-REG,1527,1527,2613,0,0
93,2025-06-09,SG,PAD-REG,1125,1125,2129,0,0
94,2025-06-16,SG,PAD-REG,724,724,2086,0,0
95,2025-06-23,SG,PAD-REG,1062,1062,2438,0,0
96,2025-06-30,SG,PAD-REG,892,892,2486,0,0
97,2025-07-07,SG,PAD-REG,1003,1003,2545,0,0
98,2025-07-14,SG,PAD-REG,884,884,2462,0,0
99,2025-07-21,SG,PAD-REG,936,936,2538,0,0
100,2025-07-28,SG,PAD-REG,1040,1040,2531,0,0
101,2025-08-04,SG,PAD-REG,941,941,2457,0,0
102,2025-08-11,SG,PAD-REG,1050,1050,2466,0,0
103,2025-08-18,SG,PAD-REG,943,943,2408,0,0
104,2025-08-25,SG,PAD-REG,919,919,2458,0,0
105,2025-09-01,SG,PAD-REG,950,950,2502,0,0
106,2025-09-08,SG,PAD-REG,1240,1240,2518,0,0
107,2025-09-15,SG,PAD-REG,986,986,2291,0,0
108,2025-09-22,SG,PAD-REG,1165,1165,2329,0,0
109,2025-09-29,SG,PAD-REG,895,895,2249,0,0
110,2025-10-06,SG,PAD-REG,1412,1412,2425,0,0
111,2025-10-13,SG,PAD-REG,1515,1515,2128,0,0
112,2025-10-20,SG,PAD-REG,1265,1265,1860,0,0
113,2025-10-27,SG,PAD-REG,1204,1204,1866,0,0
114,2025-11-03,SG,PAD-REG,1251,1251,2011,0,0
115,2025-11-10,SG,PAD-REG,2083,2069,2069,1,14
116,2025-11-17,SG,PAD-REG,1024,1024,1447,0,0
117,2025-11-24,SG,PAD-REG,1137,1137,1810,0,0
118,2025-12-01,SG,PAD-REG,800,800,2044,0,0
119,2025-12-08,SG,PAD-REG,1973,1973,2501,0,0
120,2025-12-15,SG,PAD-REG,1365,1365,1762,0,0
121,2025-12-22,SG,PAD-REG,1298,1298,1715,0,0
122,2025-12-29,SG,PAD-REG,1214,1214,1776,0,0
123,2026-01-05,SG,PAD-REG,985,985,2025,0,0
124,2026-01-12,SG,PAD-REG,1175,1175,2255,0,0
125,2026-01-19,SG,PAD-REG,1680,1680,2248,0,0
126,2026-01-26,SG,PAD-REG,1906,1832,1832,1,74
127,2026-02-02,SG,PAD-REG,1710,1418,1418,1,292
128,2026-02-09,SG,PAD-REG,943,943,1526,0,0
129,2026-02-16,SG,PAD-REG,837,837,2051,0,0
130,2026-02-23,SG,PAD-REG,1133,1133,2472,0,0
131,2026-03-02,SG,PAD-REG,1234,1234,2422,0,0
132,2026-03-09,SG,PAD-REG,901,901,2224,0,0
133,2026-03-16,SG,PAD-REG,1022,1022,2350,0,0
134,2026-03-23,SG,PAD-REG,1021,1021,2400,0,0
135,2026-03-30,SG,PAD-REG,1066,1066,2424,0,0
136,2026-04-06,SG,PAD-REG,1030,1030,2360,0,0
137,2026-04-13,SG,PAD-REG,1099,1099,2365,0,0
138,2026-04-20,SG,PAD-REG,1148,1148,2320,0,0
139,2026-04-27,SG,PAD-REG,1027,1027,2258,0,0
140,2026-05-04,SG,PAD-REG,1092,1092,2307,0,0
141,2026-05-11,SG,PAD-REG,1218,1218,2306,0,0
142,2026-05-18,SG,PAD-REG,882,882,2209,0,0
143,2026-05-25,SG,PAD-REG,873,873,2382,0,0
144,2026-06-01,SG,PAD-REG,1035,1035,2525,0,0
145,2026-06-08,SG,PAD-REG,1175,1175,2492,0,0
146,2026-06-15,SG,PAD-REG,992,992,2309,0,0
147,2026-06-22,SG,PAD-REG,1090,1090,2335,0,0
148,2026-06-29,SG,PAD-REG,941,941,2318,0,0
149,2026-07-06,SG,PAD-REG,1074,1074,2427,0,0
150,2026-07-13,SG,PAD-REG,913,913,2377,0,0
151,2026-07-20,SG,PAD-REG,1058,1058,2469,0,0
152,2026-07-27,SG,PAD-REG,1035,1035,2407,0,0
153,2026-08-03,SG,PAD-REG,1043,1043,2392,0,0
154,2026-08-10,SG,PAD-REG,1162,1162,2361,0,0
155,2026-08-17,SG,PAD-REG,1140,1140,2274,0,0
0,2023-08-28,MY,PAD-REG,280,280,2415,0,0
1,2023-09-04,MY,PAD-REG,373,373,2489,0,0
2,2023-09-11,MY,PAD-REG,381,381,2509,0,0
3,2023-09-18,MY,PAD-REG,473,473,2561,0,0
4,2023-09-25,MY,PAD-REG,815,815,2465,0,0
5,2023-10-02,MY,PAD-REG,548,548,2161,0,0
6,2023-10-09,MY,PAD-REG,859,859,2167,0,0
7,2023-10-16,MY,PAD-REG,618,618,1982,0,0
8,2023-10-23,MY,PAD-REG,723,723,2074,0,0
9,2023-10-30,MY,PAD-REG,678,678,2038,0,0
10,2023-11-06,MY,PAD-REG,1090,1090,2079,0,0
11,2023-11-13,MY,PAD-REG,964,964,1766,0,0
12,2023-11-20,MY,PAD-REG,744,744,1666,0,0
13,2023-11-27,MY,PAD-REG,798,798,1791,0,0
14,2023-12-04,MY,PAD-REG,788,788,1892,0,0
15,2023-12-11,MY,PAD-REG,966,966,1928,0,0
16,2023-12-18,MY,PAD-REG,1466,1466,1786,0,0
17,2023-12-25,MY,PAD-REG,917,917,1324,0,0
18,2024-01-01,MY,PAD-REG,660,660,1441,0,0
19,2024-01-08,MY,PAD-REG,904,904,1784,0,0
20,2024-01-15,MY,PAD-REG,807,807,1866,0,0
21,2024-01-22,MY,PAD-REG,1075,1075,1881,0,0
22,2024-01-29,MY,PAD-REG,1378,1378,1668,0,0
23,2024-02-05,MY,PAD-REG,943,943,1331,0,0
24,2024-02-12,MY,PAD-REG,544,544,1439,0,0
25,2024-02-19,MY,PAD-REG,786,786,1880,0,0
26,2024-02-26,MY,PAD-REG,810,810,2006,0,0
27,2024-03-04,MY,PAD-REG,868,868,1967,0,0
28,2024-03-11,MY,PAD-REG,819,819,1851,0,0
29,2024-03-18,MY,PAD-REG,1426,1426,1853,0,0
30,2024-03-25,MY,PAD-REG,914,914,1408,0,0
31,2024-04-01,MY,PAD-REG,1299,1299,1500,0,0
32,2024-04-08,MY,PAD-REG,1295,1295,1316,0,0
33,2024-04-15,MY,PAD-REG,760,760,1254,0,0
34,2024-04-22,MY,PAD-REG,653,653,1561,0,0
35,2024-04-29,MY,PAD-REG,850,850,1910,0,0
36,2024-05-06,MY,PAD-REG,647,647,1950,0,0
37,2024-05-13,MY,PAD-REG,715,715,2030,0,0
38,2024-05-20,MY,PAD-REG,682,682,2031,0,0
39,2024-05-27,MY,PAD-REG,649,649,2073,0,0
40,2024-06-03,MY,PAD-REG,1067,1067,2097,0,0
41,2024-06-10,MY,PAD-REG,774,774,1808,0,0
42,2024-06-17,MY,PAD-REG,806,806,1827,0,0
43,2024-06-24,MY,PAD-REG,740,740,1845,0,0
44,2024-07-01,MY,PAD-REG,663,663,1952,0,0
45,2024-07-08,MY,PAD-REG,764,764,2035,0,0
46,2024-07-15,MY,PAD-REG,592,592,2014,0,0
47,2024-07-22,MY,PAD-REG,710,710,2112,0,0
48,2024-07-29,MY,PAD-REG,752,752,2084,0,0
49,2024-08-05,MY,PAD-REG,761,761,2037,0,0
50,2024-08-12,MY,PAD-REG,634,634,1979,0,0
51,2024-08-19,MY,PAD-REG,613,613,2060,0,0
52,2024-08-26,MY,PAD-REG,875,875,2137,0,0
53,2024-09-02,MY,PAD-REG,709,709,1982,0,0
54,2024-09-09,MY,PAD-REG,900,900,1981,0,0
55,2024-09-16,MY,PAD-REG,668,668,1855,0,0
56,2024-09-23,MY,PAD-REG,784,784,1975,0,0
57,2024-09-30,MY,PAD-REG,895,895,1957,0,0
58,2024-10-07,MY,PAD-REG,1158,1158,1873,0,0
59,2024-10-14,MY,PAD-REG,922,922,1592,0,0
60,2024-10-21,MY,PAD-REG,846,846,1609,0,0
61,2024-10-28,MY,PAD-REG,879,879,1719,0,0
62,2024-11-04,MY,PAD-REG,937,937,1791,0,0
63,2024-11-11,MY,PAD-REG,1181,1181,1750,0,0
64,2024-11-18,MY,PAD-REG,892,892,1530,0,0
65,2024-11-25,MY,PAD-REG,834,834,1610,0,0
66,2024-12-02,MY,PAD-REG,1087,1087,1737,0,0
67,2024-12-09,MY,PAD-REG,1527,1527,1648,0,0
68,2024-12-16,MY,PAD-REG,906,906,1206,0,0
69,2024-12-23,MY,PAD-REG,1007,1007,1389,0,0
70,2024-12-30,MY,PAD-REG,915,915,1514,0,0
71,2025-01-06,MY,PAD-REG,886,886,1687,0,0
72,2025-01-13,MY,PAD-REG,843,843,1730,0,0
73,2025-01-20,MY,PAD-REG,1000,1000,1800,0,0
74,2025-01-27,MY,PAD-REG,1168,1168,1711,0,0
75,2025-02-03,MY,PAD-REG,1163,1163,1517,0,0
76,2025-02-10,MY,PAD-REG,1557,1397,1397,1,160
77,2025-02-17,MY,PAD-REG,690,690,1182,0,0
78,2025-02-24,MY,PAD-REG,879,879,1597,0,0
79,2025-03-03,MY,PAD-REG,1078,1078,1750,0,0
80,2025-03-10,MY,PAD-REG,1524,1524,1683,0,0
81,2025-03-17,MY,PAD-REG,888,888,1202,0,0
82,2025-03-24,MY,PAD-REG,898,898,1406,0,0
83,2025-03-31,MY,PAD-REG,855,855,1605,0,0
84,2025-04-07,MY,PAD-REG,743,743,1791,0,0
85,2025-04-14,MY,PAD-REG,969,969,1894,0,0
86,2025-04-21,MY,PAD-REG,832,832,1792,0,0
87,2025-04-28,MY,PAD-REG,775,775,1809,0,0
88,2025-05-05,MY,PAD-REG,693,693,1864,0,0
89,2025-05-12,MY,PAD-REG,820,820,1988,0,0
90,2025-05-19,MY,PAD-REG,736,736,1948,0,0
91,2025-05-26,MY,PAD-REG,897,897,1968,0,0
92,2025-06-02,MY,PAD-REG,787,787,1858,0,0
93,2025-06-09,MY,PAD-REG,785,785,1881,0,0
94,2025-06-16,MY,PAD-REG,1003,1003,1897,0,0
95,2025-06-23,MY,PAD-REG,870,870,1762,0,0
96,2025-06-30,MY,PAD-REG,681,681,1753,0,0
97,2025-07-07,MY,PAD-REG,673,673,1907,0,0
98,2025-07-14,MY,PAD-REG,797,797,2041,0,0
99,2025-07-21,MY,PAD-REG,786,786,1999,0,0
100,2025-07-28,MY,PAD-REG,787,787,1947,0,0
101,2025-08-04,MY,PAD-REG,752,752,1921,0,0
102,2025-08-11,MY,PAD-REG,800,800,1950,0,0
103,2025-08-18,MY,PAD-REG,755,755,1931,0,0
104,2025-08-25,MY,PAD-REG,667,667,1949,0,0
105,2025-09-01,MY,PAD-REG,892,892,2026,0,0
106,2025-09-08,MY,PAD-REG,989,989,1912,0,0
107,2025-09-15,MY,PAD-REG,827,827,1749,0,0
108,2025-09-22,MY,PAD-REG,929,929,1766,0,0
109,2025-09-29,MY,PAD-REG,874,874,1746,0,0
110,2025-10-06,MY,PAD-REG,1404,1404,1777,0,0
111,2025-10-13,MY,PAD-REG,926,926,1381,0,0
112,2025-10-20,MY,PAD-REG,834,834,1489,0,0
113,2025-10-27,MY,PAD-REG,929,929,1664,0,0
114,2025-11-03,MY,PAD-REG,1305,1305,1758,0,0
115,2025-11-10,MY,PAD-REG,1117,1117,1452,0,0
116,2025-11-17,MY,PAD-REG,801,801,1381,0,0
117,2025-11-24,MY,PAD-REG,1079,1079,1618,0,0
118,2025-12-01,MY,PAD-REG,868,868,1615,0,0
119,2025-12-08,MY,PAD-REG,1534,1534,1713,0,0
120,2025-12-15,MY,PAD-REG,1200,1200,1249,0,0
121,2025-12-22,MY,PAD-REG,1018,1018,1220,0,0
122,2025-12-29,MY,PAD-REG,1047,1047,1357,0,0
123,2026-01-05,MY,PAD-REG,1037,1037,1509,0,0
124,2026-01-12,MY,PAD-REG,1107,1107,1548,0,0
125,2026-01-19,MY,PAD-REG,1516,1493,1493,1,23
126,2026-01-26,MY,PAD-REG,1314,1171,1171,1,143
127,2026-02-02,MY,PAD-REG,2235,1202,1202,1,1033
128,2026-02-09,MY,PAD-REG,1525,1243,1243,1,282
129,2026-02-16,MY,PAD-REG,801,801,1278,0,0
130,2026-02-23,MY,PAD-REG,1144,1144,1581,0,0
131,2026-03-02,MY,PAD-REG,999,999,1534,0,0
132,2026-03-09,MY,PAD-REG,1039,1039,1582,0,0
133,2026-03-16,MY,PAD-REG,835,835,1539,0,0
134,2026-03-23,MY,PAD-REG,923,923,1708,0,0
135,2026-03-30,MY,PAD-REG,896,896,1734,0,0
136,2026-04-06,MY,PAD-REG,765,765,1761,0,0
137,2026-04-13,MY,PAD-REG,1371,1371,1851,0,0
138,2026-04-20,MY,PAD-REG,819,819,1469,0,0
139,2026-04-27,MY,PAD-REG,861,861,1613,0,0
140,2026-05-04,MY,PAD-REG,727,727,1706,0,0
141,2026-05-11,MY,PAD-REG,960,960,1923,0,0
142,2026-05-18,MY,PAD-REG,932,932,1805,0,0
143,2026-05-25,MY,PAD-REG,891,891,1743,0,0
144,2026-06-01,MY,PAD-REG,765,765,1729,0,0
145,2026-06-08,MY,PAD-REG,797,797,1851,0,0
146,2026-06-15,MY,PAD-REG,960,960,1901,0,0
147,2026-06-22,MY,PAD-REG,820,820,1794,0,0
148,2026-06-29,MY,PAD-REG,872,872,1809,0,0
149,2026-07-06,MY,PAD-REG,1242,1242,1800,0,0
150,2026-07-13,MY,PAD-REG,748,748,1531,0,0
151,2026-07-20,MY,PAD-REG,1002,1002,1704,0,0
152,2026-07-27,MY,PAD-REG,676,676,1668,0,0
153,2026-08-03,MY,PAD-REG,894,894,1909,0,0
154,2026-08-10,MY,PAD-REG,873,873,1845,0,0
155,2026-08-17,MY,PAD-REG,732,732,1833,0,0
0,2023-08-28,ID,PAD-REG,616,616,4830,0,0
1,2023-09-04,ID,PAD-REG,715,715,4923,0,0
2,2023-09-11,ID,PAD-REG,1272,1272,4997,0,0
3,2023-09-18,ID,PAD-REG,772,772,4596,0,0
4,2023-09-25,ID,PAD-REG,1204,1204,4667,0,0
5,2023-10-02,ID,PAD-REG,1160,1160,4454,0,0
6,2023-10-09,ID,PAD-REG,1666,1666,4396,0,0
7,2023-10-16,ID,PAD-REG,1460,1460,3931,0,0
8,2023-10-23,ID,PAD-REG,1453,1453,3843,0,0
9,2023-10-30,ID,PAD-REG,1550,1550,3825,0,0
10,2023-11-06,ID,PAD-REG,2156,2156,3807,0,0
11,2023-11-13,ID,PAD-REG,2521,2521,3306,0,0
12,2023-11-20,ID,PAD-REG,1480,1480,2705,0,0
13,2023-11-27,ID,PAD-REG,1676,1676,3152,0,0
14,2023-12-04,ID,PAD-REG,1692,1692,3434,0,0
15,2023-12-11,ID,PAD-REG,3035,3035,3584,0,0
16,2023-12-18,ID,PAD-REG,2049,2049,2520,0,0
17,2023-12-25,ID,PAD-REG,1865,1865,2584,0,0
18,2024-01-01,ID,PAD-REG,1680,1680,2879,0,0
19,2024-01-08,ID,PAD-REG,1596,1596,3356,0,0
20,2024-01-15,ID,PAD-REG,1582,1582,3558,0,0
21,2024-01-22,ID,PAD-REG,1567,1567,3657,0,0
22,2024-01-29,ID,PAD-REG,1811,1811,3696,0,0
23,2024-02-05,ID,PAD-REG,1558,1558,3524,0,0
24,2024-02-12,ID,PAD-REG,1574,1574,3595,0,0
25,2024-02-19,ID,PAD-REG,1659,1659,3649,0,0
26,2024-02-26,ID,PAD-REG,1531,1531,3640,0,0
27,2024-03-04,ID,PAD-REG,1571,1571,3690,0,0
28,2024-03-11,ID,PAD-REG,1400,1400,3703,0,0
29,2024-03-18,ID,PAD-REG,1902,1902,3843,0,0
30,2024-03-25,ID,PAD-REG,1752,1752,3542,0,0
31,2024-04-01,ID,PAD-REG,2846,2846,3446,0,0
32,2024-04-08,ID,PAD-REG,2875,2575,2575,1,300
33,2024-04-15,ID,PAD-REG,1225,1225,2269,0,0
34,2024-04-22,ID,PAD-REG,1927,1927,3143,0,0
35,2024-04-29,ID,PAD-REG,1541,1541,3360,0,0
36,2024-05-06,ID,PAD-REG,1534,1534,3636,0,0
37,2024-05-13,ID,PAD-REG,1204,1204,3658,0,0
38,2024-05-20,ID,PAD-REG,1591,1591,4006,0,0
39,2024-05-27,ID,PAD-REG,1551,1551,3882,0,0
40,2024-06-03,ID,PAD-REG,1423,1423,3801,0,0
41,2024-06-10,ID,PAD-REG,1519,1519,3821,0,0
42,2024-06-17,ID,PAD-REG,1687,1687,3823,0,0
43,2024-06-24,ID,PAD-REG,1429,1429,3681,0,0
44,2024-07-01,ID,PAD-REG,1343,1343,3766,0,0
45,2024-07-08,ID,PAD-REG,1712,1712,3918,0,0
46,2024-07-15,ID,PAD-REG,1550,1550,3748,0,0
47,2024-07-22,ID,PAD-REG,1489,1489,3707,0,0
48,2024-07-29,ID,PAD-REG,3178,3178,3741,0,0
49,2024-08-05,ID,PAD-REG,1576,1576,2546,0,0
50,2024-08-12,ID,PAD-REG,1538,1538,2918,0,0
51,2024-08-19,ID,PAD-REG,1633,1633,3325,0,0
52,2024-08-26,ID,PAD-REG,1539,1539,3673,0,0
53,2024-09-02,ID,PAD-REG,1670,1670,3706,0,0
54,2024-09-09,ID,PAD-REG,2425,2425,3631,0,0
55,2024-09-16,ID,PAD-REG,1563,1563,3023,0,0
56,2024-09-23,ID,PAD-REG,1661,1661,3259,0,0
57,2024-09-30,ID,PAD-REG,1794,1794,3428,0,0
58,2024-10-07,ID,PAD-REG,2441,2441,3494,0,0
59,2024-10-14,ID,PAD-REG,1902,1902,2918,0,0
60,2024-10-21,ID,PAD-REG,1969,1969,2966,0,0
61,2024-10-28,ID,PAD-REG,1890,1890,3023,0,0
62,2024-11-04,ID,PAD-REG,1969,1969,3184,0,0
63,2024-11-11,ID,PAD-REG,2208,2208,3147,0,0
64,2024-11-18,ID,PAD-REG,1856,1856,2948,0,0
65,2024-11-25,ID,PAD-REG,2146,2146,3073,0,0
66,2024-12-02,ID,PAD-REG,1529,1529,2972,0,0
67,2024-12-09,ID,PAD-REG,3290,3290,3377,0,0
68,2024-12-16,ID,PAD-REG,2969,2293,2293,1,676
69,2024-12-23,ID,PAD-REG,1775,1775,2314,0,0
70,2024-12-30,ID,PAD-REG,2593,2593,2761,0,0
71,2025-01-06,ID,PAD-REG,1614,1614,2656,0,0
72,2025-01-13,ID,PAD-REG,3446,3110,3110,1,336
73,2025-01-20,ID,PAD-REG,2349,2273,2273,1,76
74,2025-01-27,ID,PAD-REG,2315,2315,2398,0,0
75,2025-02-03,ID,PAD-REG,2578,2411,2411,1,167
76,2025-02-10,ID,PAD-REG,1953,1953,2527,0,0
77,2025-02-17,ID,PAD-REG,1909,1909,2812,0,0
78,2025-02-24,ID,PAD-REG,2427,2427,3050,0,0
79,2025-03-03,ID,PAD-REG,3318,2798,2798,1,520
80,2025-03-10,ID,PAD-REG,3442,2272,2272,1,1170
81,2025-03-17,ID,PAD-REG,1968,1968,2351,0,0
82,2025-03-24,ID,PAD-REG,1983,1983,2750,0,0
83,2025-03-31,ID,PAD-REG,1991,1991,3022,0,0
84,2025-04-07,ID,PAD-REG,1890,1890,3084,0,0
85,2025-04-14,ID,PAD-REG,1524,1524,3152,0,0
86,2025-04-21,ID,PAD-REG,2124,2124,3475,0,0
87,2025-04-28,ID,PAD-REG,1271,1271,3234,0,0
88,2025-05-05,ID,PAD-REG,2048,2048,3665,0,0
89,2025-05-12,ID,PAD-REG,1674,1674,3359,0,0
90,2025-05-19,ID,PAD-REG,1743,1743,3464,0,0
91,2025-05-26,ID,PAD-REG,1672,1672,3405,0,0
92,2025-06-02,ID,PAD-REG,1696,1696,3517,0,0
93,2025-06-09,ID,PAD-REG,1760,1760,3517,0,0
94,2025-06-16,ID,PAD-REG,1709,1709,3475,0,0
95,2025-06-23,ID,PAD-REG,1552,1552,3475,0,0
96,2025-06-30,ID,PAD-REG,1934,1934,3603,0,0
97,2025-07-07,ID,PAD-REG,2213,2213,3407,0,0
98,2025-07-14,ID,PAD-REG,2051,2051,3046,0,0
99,2025-07-21,ID,PAD-REG,1771,1771,2933,0,0
100,2025-07-28,ID,PAD-REG,1677,1677,3154,0,0
101,2025-08-04,ID,PAD-REG,1924,1924,3405,0,0
102,2025-08-11,ID,PAD-REG,2038,2038,3337,0,0
103,2025-08-18,ID,PAD-REG,1691,1691,3151,0,0
104,2025-08-25,ID,PAD-REG,1848,1848,3293,0,0
105,2025-09-01,ID,PAD-REG,2237,2237,3320,0,0
106,2025-09-08,ID,PAD-REG,2904,2904,3037,0,0
107,2025-09-15,ID,PAD-REG,1809,1809,2303,0,0
108,2025-09-22,ID,PAD-REG,2063,2063,2693,0,0
109,2025-09-29,ID,PAD-REG,1784,1784,2883,0,0
110,2025-10-06,ID,PAD-REG,1861,1861,3239,0,0
111,2025-10-13,ID,PAD-REG,2115,2115,3258,0,0
112,2025-10-20,ID,PAD-REG,2241,2241,3098,0,0
113,2025-10-27,ID,PAD-REG,2340,2340,2858,0,0
114,2025-11-03,ID,PAD-REG,2356,2356,2657,0,0
115,2025-11-10,ID,PAD-REG,3364,2564,2564,1,800
116,2025-11-17,ID,PAD-REG,1960,1960,2375,0,0
117,2025-11-24,ID,PAD-REG,2460,2460,2720,0,0
118,2025-12-01,ID,PAD-REG,2603,2595,2595,1,8
119,2025-12-08,ID,PAD-REG,2940,2395,2395,1,545
120,2025-12-15,ID,PAD-REG,2898,2352,2352,1,546
121,2025-12-22,ID,PAD-REG,2535,2451,2451,1,84
122,2025-12-29,ID,PAD-REG,2707,2448,2448,1,259
123,2026-01-05,ID,PAD-REG,2470,2412,2412,1,58
124,2026-01-12,ID,PAD-REG,2290,2290,2415,0,0
125,2026-01-19,ID,PAD-REG,3175,2526,2526,1,649
126,2026-01-26,ID,PAD-REG,2476,2419,2419,1,57
127,2026-02-02,ID,PAD-REG,4179,2411,2411,1,1768
128,2026-02-09,ID,PAD-REG,3984,2412,2412,1,1572
129,2026-02-16,ID,PAD-REG,2470,2442,2442,1,28
130,2026-02-23,ID,PAD-REG,2450,2421,2421,1,29
131,2026-03-02,ID,PAD-REG,2330,2330,2421,0,0
132,2026-03-09,ID,PAD-REG,2665,2493,2493,1,172
133,2026-03-16,ID,PAD-REG,2361,2361,2421,0,0
